type,year,title,authors,venue,status,link,bibtex,note
Conference,2025,"SE-Jury - An LLM-as-Ensemble-Judge Metric for Narrowing the Gap with Human Evaluation in SE","X. Zhou, K. Kim**, T. Zhang, M. Weyssow, L. Gomes, G. Yang, K. Liu, X. Xia, D. Lo","IEEE/ACM International Conference on Automated Software Engineering (ASE)",Just Accepted,#,,
Conference,2025,"iCodeReviewer - Improving Secure Code Review with Mixture of Prompts","Y. Peng, K. Kim**, L. Meng, K. Liu","IEEE/ACM International Conference on Automated Software Engineering (ASE)",Just Accepted,#,,
Conference,2025,"Investigating sparsity of self-attention","M. Garaj, K. Kim**, A. Stockinger","European Conference on Artificial Intelligence",, #,,
Conference,2025,"RAML --- Toward Retrieval-augmented Localization of Malicious Payloads in Android Apps","T. Sun, M. Alecci, Y. Song, X. Tang, K. Kim, J. Samhi, T. Bissyandé, J. Klein","IEEE/ACM International Conference on Automated Software Engineering",Just Accepted,#,,
Conference,2024,"DataRecipe --- How to Cook the Data for CodeLLM?","K. Kim, J. Kim, B. Park, D. Kim, C. Chong, Y. Wang, T. Sun, D. Tang, J. Klein, T. Bissyandé","IEEE/ACM International Conference on Automated Software Engineering (ASE)","Selected for IEEE Software, Practitioner's digest",#,,
Conference,2024,"CodeAgent --- Autonomous Communicative Agents for Code Review","D. Tang, K. Kim, Y. Song, C. Lothritz, B. Li, S. Ezzini, H. Tian, J. Klein, T. Bissyandé","The Conference on Empirical Methods in Natural Language Processing (EMNLP)",,#,,
Conference,2024,"Out of Sight, Out of Mind - Better Automatic Vulnerability Repair by Broadening Input Ranges and Sources","X. Zhou, K. Kim**, B. Xu, D. Han, D. Lo","IEEE/ACM International Conference on Software Engineering (ICSE)",,#,,
Conference,2024,"Curiosity-Driven Testing for Sequential Decision-Making Process","J. He, Z. Yang, J. Shi, C. Yang, K. Kim, B. Xu, X. Zhou, D. Lo","IEEE/ACM International Conference on Software Engineering (ICSE)",,#,,
Conference,2023,"AutoConf - Automated Configuration of Unsupervised Learning Systems using Metamorphic Testing and Bayesian Optimization","S. Lwin Khin, A. Göknil, E. Johannes Husom, S. Sen, Y. Naing Tun, K. Kim**","IEEE/ACM International Conference on Automated Software Engineering (ASE)",,#,,
Conference,2023,"The Devil is in the Tails - An Exploratory Study on Long-tailed Distributions in Software Engineering Datasets","X. Zhou, K. Kim**, B. Xu, J. Liu, D. Han, D. Lo","IEEE/ACM International Conference on Automated Software Engineering (ASE)",,#,,
Conference,2023,"Are We Ready to Embrace Generative AI for Software Q&A?","B. Xu, T. Nguyen, T. Le-Cong, T. Hoang, J. Liu, K. Kim, C. Gong, C. Niu, C. Wang, B. Le, D. Lo","IEEE/ACM International Conference on Automated Software Engineering (ASE)",,#,,
Conference,2023,"On the Usage of Continual Learning for Out-of-Distribution Generalization in Pre-trained Language Models of Code","M. Weyssow, Z. Xin, K. Kim**, D. Lo, H. Sahraoui","The ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE)",,#,,
Conference,2023,"APISENS- Sentiment Scoring Tool for APIs with Crowd-Knowledge","K. Kim, F. Thung, T. Zhang, I. Clairine Irsan, R. Widyasari, Z. Yang, D. Lo","arXiv",,#,,
Conference,2023,"APIHarvest - Harvesting API Information from Various Online Sources","F. Thung, K. Kim, T. Zhang, I. Clairine Irsan, R. Widyasari, Z. Yang, D. Lo","arXiv",,#,,
Conference,2023,"PICASO - Enhancing API Recommendations with Relevant Stack Overflow Posts","I. Irsan, T. Zhang, F. Thung, K. Kim, D. Lo","Proceedings of the 20th International Conference on Mining Software Repositories (MSR)",,#,,
Conference,2023,"Generation-based Code Review Automation - How Far Are We?","X. Zhou, K. Kim**, B. Xu, D. Han, J. He, D. Lo","The 31st IEEE/ACM International Conference on Program Comprehension (ICPC)",,#,,
Conference,2023,"Multi-source API Recommendation","I. Irsan, T. Zhang, F. Thung, K. Kim, D. Lo","Proceedings of the 30th IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",,#,,
Journal,2025,"Learning to Represent Code Changes","X. Tang, H. Tian, W. Pian, S. Ezzini, A. Kabore, A. Habib, K. Kim**, J. Klein, T. Bissyandé","Empirical Software Engineering (EMSE)",Just Accepted,#,,
Journal,2025,"Automating Requirement-to-Specification Traceability Recovery in Weapon Systems via Domain-Adapted Pretrained Models","T. Kim, K. Kim**, K. Jo","The Journal of Software Systems (JSS)",Under Review,#,,
Journal,2025,"Just-in-Time Detection of Silent Security Patches","D. Tang, K. Kim, S. Ezzini, Y. Song, H. Tian, J. Klein, T. Bissyandé","ACM Transactions on Software Engineering and Methodology (TOSEM)",Just Accepted,#,,
Journal,2025,"Exploring Parameter-Efficient Fine-Tuning Techniques for Code Generation with Large Language Models","M. Weyssow, X. Zhou, K. Kim, D. Lo, H. Sahraoui","ACM Transactions on Software Engineering and Methodology (TOSEM)",,#,,
